station_id,date_time,parameter,value,unit,depth,depth_unit
PMELCO2_alawai,2020-09-09 23:17:00-07:00,water_temperature,81.176,°F,-3,ft
PMELCO2_cce2,2015-05-04 11:17:00-07:00,salinity,33.25,PSU,-3,ft
NERRS_soswiwq,2021-09-05 23:45:00-07:00,oxygen_concentration,7.0,mg/L,-8,ft
PMELCO2_crimp,2013-07-23 23:17:00-07:00,co2,512.4,ppm,-3,ft
NERRS_sfbccwq,2021-09-09 22:15:00-07:00,water_temperature,70.88,°F,-2,ft
NERRS_sfbgcwq,2021-10-25 16:45:00-07:00,oxygen_saturation,25.9,%,-26,ft
NERRS_pdbbpwq,2021-10-17 15:45:00-07:00,salinity,29.2,PSU,-11,ft
PMELCO2_whots,2010-04-11 08:17:00-07:00,co2,366.6,ppm,-3,ft
PMELCO2_cce2,2016-10-04 02:17:00-07:00,co2,386.0,ppm,-3,ft
NERRS_elkvmwq,2021-09-07 18:00:00-07:00,water_temperature,66.38,°F,2,ft
KC_SEAQYSI,2021-10-05 04:45:00-07:00,water_temperature,55.184,°F,-33,ft
NERRS_elkapwq,2021-10-23 23:15:00-07:00,salinity,33.4,PSU,5,ft
PMELCO2_crimp,2019-05-07 08:17:00-07:00,co2,516.3,ppm,-3,ft
PMELCO2_crimp,2009-12-15 13:17:00-08:00,water_temperature,77.09,°F,-3,ft
NERRS_tjroswq,2021-09-07 03:15:00-07:00,salinity,34.8,PSU,3,ft
PMELCO2_alawai,2018-01-28 19:17:00-08:00,salinity,34.88,PSU,-3,ft
